timestamp_utc,run_tag,solution,uptime_s,player_count,avg_rtt_ms,max_rtt_ms,min_rtt_ms,avg_jitter_ms,max_jitter_ms,avg_packet_loss_pct,bytes_sent_delta,bytes_recv_delta,ram_bytes,gc_heap_bytes,gc_gen0_delta,gc_gen1_delta,gc_gen2_delta,cpu_pct
2026-06-06T18:07:53.0083890Z,20260606T180747Z,custom,5.05,0,0,0,0,0,0,0,0,0,196132864,21089512,0,0,0,0.7
2026-06-06T18:07:58.0182960Z,20260606T180747Z,custom,10.06,0,0,0,0,0,0,0,0,0,207634432,24005104,0,0,0,1.8
2026-06-06T18:08:03.0216410Z,20260606T180747Z,custom,15.06,0,0,0,0,0,0,0,0,0,207994880,24021552,0,0,0,0.1
2026-06-06T18:08:08.0242780Z,20260606T180747Z,custom,20.06,0,0,0,0,0,0,0,0,0,208568320,24054448,0,0,0,0.2
2026-06-06T18:08:13.0271930Z,20260606T180810Z,custom,25.07,0,0,0,0,0,0,0,0,0,208797696,24103720,0,0,0,0.2
2026-06-06T18:08:18.0298830Z,20260606T180810Z,custom,30.07,0,0,0,0,0,0,0,0,0,211304448,24605816,0,0,0,1.3
2026-06-06T18:08:23.0316070Z,20260606T180810Z,custom,35.07,0,0,0,0,0,0,0,0,0,211697664,24630488,0,0,0,0.3
2026-06-06T18:08:28.0331360Z,20260606T180810Z,custom,40.07,0,0,0,0,0,0,0,0,0,244645888,57945832,0,0,0,0.5
2026-06-06T18:08:33.0356660Z,20260606T180810Z,custom,45.07,0,0,0,0,0,0,0,0,0,967426048,763135216,2,1,1,9.6
2026-06-06T18:08:38.0373080Z,20260606T180810Z,custom,50.08,0,0,0,0,0,0,0,0,0,1030078464,825206968,0,0,0,2.7
2026-06-06T18:08:43.0386510Z,20260606T180810Z,custom,55.08,0,0,0,0,0,0,0,0,0,1757822976,766763184,1,1,1,7.4
2026-06-06T18:08:48.0418380Z,20260606T180810Z,custom,60.08,0,0,0,0,0,0,0,0,0,1711407104,1155398688,1,1,0,6
2026-06-06T18:08:53.0440080Z,20260606T180810Z,custom,65.08,0,0,0,0,0,0,0,0,0,1715503104,1216158160,0,0,0,2.7
2026-06-06T18:08:58.0467140Z,20260606T180810Z,custom,70.09,0,0,0,0,0,0,0,0,0,1727954944,1276665504,0,0,0,2.5
2026-06-06T18:09:03.0475070Z,20260606T180810Z,custom,75.09,0,0,0,0,0,0,0,0,0,1733591040,1338539720,0,0,0,2.5
2026-06-06T18:09:08.0496420Z,20260606T180810Z,custom,80.09,0,0,0,0,0,0,0,0,0,1735737344,1399723064,0,0,0,2.5
2026-06-06T18:09:13.0519100Z,20260606T180810Z,custom,85.09,0,0,0,0,0,0,0,0,0,1738473472,1462201120,0,0,0,2.6
2026-06-06T18:09:18.0546750Z,20260606T180810Z,custom,90.09,0,0,0,0,0,0,0,0,0,1741717504,1518154528,0,0,0,0.9
2026-06-06T18:09:23.0574350Z,20260606T180810Z,custom,95.1,0,0,0,0,0,0,0,0,0,1741750272,1518195648,0,0,0,0.2
2026-06-06T18:09:28.0599700Z,20260606T180810Z,custom,100.1,0,0,0,0,0,0,0,0,0,1741848576,1518212096,0,0,0,0.3
2026-06-06T18:09:33.0621780Z,20260606T180810Z,custom,105.1,0,0,0,0,0,0,0,0,0,1742012416,1518244992,0,0,0,0.2
2026-06-06T18:09:38.0645070Z,20260606T180810Z,custom,110.1,0,0,0,0,0,0,0,0,0,1742061568,1518285968,0,0,0,0.2
2026-06-06T18:09:43.0663060Z,20260606T180810Z,custom,115.11,0,0,0,0,0,0,0,0,0,1742061568,1518318864,0,0,0,0
2026-06-06T18:09:48.0684030Z,20260606T180810Z,custom,120.11,0,0,0,0,0,0,0,0,0,1742127104,1518334744,0,0,0,0.1
2026-06-06T18:09:53.0709300Z,20260606T180810Z,custom,125.11,0,0,0,0,0,0,0,0,0,1742012416,1518351192,0,0,0,0
2026-06-06T18:09:58.0739820Z,20260606T180810Z,custom,130.11,0,0,0,0,0,0,0,0,0,1742028800,1518384088,0,0,0,0
2026-06-06T18:10:03.0759970Z,20260606T180810Z,custom,135.12,0,0,0,0,0,0,0,0,0,1742012416,1518408760,0,0,0,0.1
2026-06-06T18:10:08.0780880Z,20260606T180810Z,custom,140.12,0,0,0,0,0,0,0,0,0,1742094336,1518441656,0,0,0,0.1
2026-06-06T18:10:13.0800610Z,20260606T180810Z,custom,145.12,0,0,0,0,0,0,0,0,0,1742127104,1518474552,0,0,0,0
2026-06-06T18:10:18.0820380Z,20260606T180810Z,custom,150.12,0,0,0,0,0,0,0,0,0,1742143488,1518491000,0,0,0,0.1
2026-06-06T18:10:23.0838510Z,20260606T180810Z,custom,155.12,0,0,0,0,0,0,0,0,0,1742274560,1518523800,0,0,0,0.2
2026-06-06T18:10:28.0862930Z,20260606T180810Z,custom,160.13,0,0,0,0,0,0,0,0,0,1742274560,1518564752,0,0,0,0.1
2026-06-06T18:10:33.0889940Z,20260606T181029Z,custom,165.13,0,0,0,0,0,0,0,0,0,1742356480,1518679904,0,0,0,0.1
2026-06-06T18:10:38.0904920Z,20260606T181029Z,custom,170.13,0,0,0,0,0,0,0,0,0,1742618624,1519369632,0,0,0,0.3
2026-06-06T18:10:43.0929840Z,20260606T181029Z,custom,175.13,0,0,0,0,0,0,0,0,0,1742585856,1519386080,0,0,0,0
2026-06-06T18:10:48.0948290Z,20260606T181029Z,custom,180.13,0,0,0,0,0,0,0,0,0,1741504512,1519418976,0,0,0,0
2026-06-06T18:10:53.0974670Z,20260606T181029Z,custom,185.14,0,0,0,0,0,0,0,0,0,1733214208,1519435424,0,0,0,0
2026-06-06T18:10:58.0992570Z,20260606T181029Z,custom,190.14,0,0,0,0,0,0,0,0,0,1733246976,1519468288,0,0,0,0
2026-06-06T18:36:50.0339020Z,20260606T183644Z,custom,5.05,0,0,0,0,0,0,0,0,0,194412544,21236296,0,0,0,0.7
2026-06-06T18:36:55.0445280Z,20260606T183644Z,custom,10.06,0,0,0,0,0,0,0,0,0,194592768,21244520,0,0,0,0.1
2026-06-06T18:37:00.0468320Z,20260606T183644Z,custom,15.06,0,0,0,0,0,0,0,0,0,194609152,21252744,0,0,0,0.1
2026-06-06T18:37:05.0491510Z,20260606T183644Z,custom,20.06,0,0,0,0,0,0,0,0,0,194543616,21260968,0,0,0,0
